Date,"Total employed, all industries 7",Goods-producing sector 8,Agriculture 9,"Forestry, fishing, mining, quarrying, oil and gas 10 11",Utilities,Construction,Manufacturing,Services-producing sector 12,Wholesale and retail trade,Transportation and warehousing,"Finance, insurance, real estate, rental and leasing","Professional, scientific and technical services","Business, building and other support services 13",Educational services,Health care and social assistance,"Information, culture and recreation",Accommodation and food services,Other services (except public administration),Public administration
Jan-00,"14,652.70","3,827.20",395.6,270.5,116.3,801.1,"2,243.70","10,825.50","2,247.60",770.4,852.9,925.7,513.4,988.6,"1,485.00",636.7,937.6,693.1,774.4
Feb-00,"14,672.20","3,818.70",396.9,274.5,117.1,806.4,"2,223.80","10,853.50","2,276.90",775.8,853.3,906.8,508.6,982.5,"1,498.20",639.8,949.5,695.2,766.8
Mar-00,"14,697.50","3,817.20",393.6,271.7,115.5,807.3,"2,229.10","10,880.40","2,286.10",774.9,858.1,907.6,519.2,984.9,"1,507.40",645.8,943.6,683.3,769.5
Apr-00,"14,722.70","3,830.40",379.5,280.5,114.9,812.3,"2,243.30","10,892.30","2,285.30",777.2,845.2,916.8,527.7,972.4,"1,521.80",646.7,946.1,679.5,773.5
May-00,"14,736.40","3,829.20",378.7,275.9,116.8,805,"2,252.80","10,907.20","2,287.40",777.3,845.6,922.7,526.9,967.5,"1,534.30",654.5,954.6,677.7,758.9
Jun-00,"14,746.80","3,808.80",374.1,277.2,113.7,801.9,"2,241.90","10,938.00","2,287.70",774.3,857.3,917,539.9,974.1,"1,521.80",664.3,954.5,681.4,765.7
Jul-00,"14,750.40","3,786.20",367.8,273.2,114.6,810.1,"2,220.50","10,964.20","2,298.30",768.2,859.3,940.3,537.2,975.6,"1,510.40",664,942.2,691.9,776.9
Aug-00,"14,770.30","3,785.80",367.8,270.4,113,804.4,"2,230.20","10,984.60","2,324.60",766.1,854.4,937.2,538.6,961.2,"1,521.60",671.8,925,699.3,784.8
Sep-00,"14,812.20","3,799.60",361.6,272.7,115.3,815.4,"2,234.70","11,012.60","2,329.50",763.6,851.5,948.8,545.1,963.6,"1,528.90",681.6,940.4,676.7,783
Oct-00,"14,835.30","3,796.60",355.8,274.7,116.4,799.1,"2,250.60","11,038.70","2,319.30",773.8,867.3,965.5,545,957.7,"1,531.90",681,933.5,683.1,780.6
